자치구,한식 일반 음식점업,커피전문점,기타주점업,일반 교과 학원
종로구,5912,3613,1413,382
중구,6414,3542,982,175
용산구,2987,2076,1332,573
성동구,2785,1859,621,1494
광진구,2861,1887,1577,1646
동대문구,3566,1472,1082,984
중랑구,2479,1037,1000,1045
성북구,2822,1384,1030,1755
강북구,2663,1095,1275,740
도봉구,2009,837,477,1162
노원구,2650,1748,844,3281
은평구,2585,1296,925,1793
서대문구,2694,1323,1127,1268
마포구,4705,4475,2559,1855
양천구,2800,1375,851,5804
강서구,4584,2530,1709,2347
구로구,3215,1384,1165,1111
금천구,2619,1215,685,487
영등포구,6476,3295,1489,1082
동작구,2322,1628,955,1463
관악구,3689,2049,1672,1230
서초구,6712,3897,1255,3812
강남구,11486,7273,2528,9020
송파구,5760,3372,1469,4160
강동구,3388,1660,1349,2104
