text,label
환자가 심각한 호흡곤란으로 숨을 쉬기 어려워하며 피부가 푸르스름하게 변색된 상태,1
환자가 얼굴이 창백하고 식은땀을 흘리며 맥박이 거의 잡히지 않는 쇼크 상태,1
"환자가 바닥에 쓰러져 의식을 잃었고, 주변의 소리에 반응하지 않으며, 몸이 움직이지 않는 상태",1
환자가 심한 호흡곤란으로 숨을 쉬지 못해 곤란해하는 상태,1
환자가 심각한 쇼크로 인해 혈압이 떨어지고 의식을 잃을 위험에 있는 상태,1
"환자가 의식을 잃고 반응이 없으며, 몸이 축 늘어져 있는 상태",1
환자가 심각한 호흡곤란으로 인해 가슴을 크게 오르내리며 숨을 쉬기 힘든 상태,1
환자가 쇼크 상태로 혈압이 급격히 떨어지며 의식을 잃을 위험에 있는 상태,1
"환자가 의식을 잃고 반응이 없으며, 주변 자극에 전혀 반응하지 않는 상태",1
환자가 경련을 일으키며 몸이 떨리고 혼란스러운 상태,1
환자가 자신이나 타인에게 해를 끼칠 구체적인 계획이나 충동을 억제하지 못하는 상태,1
건강한 상태에서 조절되지 않는 위험한 행동을 보이는 환자,1
싸움이나 안전하지 않은 상황에 놓여 있는 환자,1
중증 호흡곤란을 겪고 있는 환자,1
쇼크 상태에 있는 환자,1
무의식 상태(GCS 3-8)에 있는 환자,1
"중증 호흡곤란을 겪고 있는 환자이며, 생명이 위급한 상황입니다.",1
쇼크 상태로 생명이 위급한 환자입니다.,1
"무의식(GCS 3-8) 상태인 환자로, 심각한 의식 저하가 있습니다.",1
"중증 호흡곤란을 겪고 있는 환자로, 생명이 위급한 상황입니다.",1
"환자가 도주할 가능성이 높고, 자신이나 타인의 안전을 위협할 수 있는 위험한 상태",2
"환자가 패혈증의 증상으로 고열, 빠른 호흡, 혼란을 보이는 상태",2
최근 발작을 경험한 환자가 발작 후 초조하고 불안해하는 상태,2
환자가 도주할 가능성이 높아 자신이나 타인의 안전을 위협하는 상태,2
환자가 극심한 불안과 초조함을 느끼며 안절부절 못하는 상태,2
"환자가 심한 불안과 초조함을 느끼며, 주위를 경계하는 상태",2
도주할 가능성이 있는 환자가 자신이나 타인의 안전을 위협하는 상황,2
환자가 숨을 가쁘게 쉬며 중등도의 호흡곤란을 겪는 상태,2
환자가 의식이 흐려지고 주변 상황을 인지하지 못하는 상태,2
열이 나고 면역억제로 감염 위험이 높은 상태,2
패혈증이 의심되는 환자가 고열과 빠른 호흡을 보이는 상태,2
환자가 도주할 가능성이 높아 안전이 위협받는 상태,2
도주할 가능성이 높아 자신과 타인의 안전이 위협받는 상태,2
중등도의 호흡곤란을 호소하는 환자,2
혈역학적 장애로 인한 증상을 보이는 환자,2
의식이 흐릿해져 주변 상황을 제대로 인지하지 못하는 상태,2
열이 나고 면역력이 저하된 상태로 감염 위험이 있는 환자,2
"패혈증의 가능성이 있는 상태로, 고열과 혼란이 동반된 환자",2
도주할 가능성이 높고 안전이 위협받는 환자,2
도주할 가능성이 있으며 반복적인 학대 위험이 있는 상태,2
열이 나고 아파 보이는 환자는 3 SIRS 기준에 미치지 않는 경미한 증상을 보이고 있습니다.,3
급성 중심성 중등도 통증(4-7)을 느끼는 환자는 통증으로 인해 불편함을 호소하고 있습니다.,3
"경증 호흡곤란을 겪고 있는 환자는 숨이 약간 가쁘고, 불안해 보입니다.",3
급성 중심성 중등도 통증(4-7)을 느끼는 환자는 통증으로 인해 약간의 불편함을 호소하고 있습니다.,3
출혈성 질환으로 중등도나 경증의 출혈을 겪고 있는 환자는 증상이 경미하지만 관찰이 필요합니다.,3
이물질이 있는 가능성이 있는 환자는 기도에 장애가 생길 수 있는 상황입니다.,3
경증 호흡곤란을 겪고 있는 환자는 숨이 약간 가쁘고 불안해 보입니다.,3
급성 말초성 중증 통증(8-10)을 겪는 환자는 극심한 통증으로 인해 괴로워하고 있습니다.,3
예측 FEV1 혹은 PEER이 40-60%인 알지 못하는 중등도 천식 환자는 숨쉬기가 어려운 상황입니다.,3
비정상 맥박수와 맥박압을 보이지만 혈역학적으로 안정된 환자는 현재 상태를 유지하고 있습니다.,3
호흡곤란이 없는 연하장애 환자는 음식을 삼키는 데 어려움을 겪고 있지만 호흡은 안정적입니다.,3
급성 말초성 중증 통증(8-10)을 겪고 있는 환자는 극심한 통증으로 힘들어하고 있습니다.,3
만성 중심성 중증 통증(8-10)을 겪는 환자는 지속적인 고통으로 힘들어하고 있습니다.,3
급성발병으로 지속되는 증상을 보이는 환자는 추가적인 검사가 필요합니다.,3
고혈압(수축기혈압≥220 혹은 이완기혈압≥130) 동반된 다른 증상이 없는 환자는 안정적인 상태로 보입니다.,3
고혈압(수축기혈압 200-220 및 이완기혈압 110-130) 고혈압 증상이 동반된 환자는 지속적인 모니터링이 필요합니다.,3
갑자기 보행이 어려워진 환자는 균형을 잃고 불안정하게 움직이고 있습니다.,3
경증 탈수를 겪고 있는 환자는 약간의 갈증을 느끼며 수분 섭취가 필요할 수 있습니다.,3
